AREA_TITLE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
Michigan,comp_sys_analysts,"14,750",5.1,3.634,1.01,48.12,"100,080",29.67,37.58,47.76,59.71,62.99,"61,710","78,170","99,340","124,200","131,030"
Michigan,info_secur_analysts,"2,820",16.2,0.694,0.62,45.57,"94,780",22.51,29.65,47.11,50.61,63.65,"46,810","61,670","97,980","105,280","132,380"
Michigan,database_administrator,"1,410",6.7,0.347,0.57,40.59,"84,430",22.98,29.67,38.01,49.08,60.95,"47,800","61,710","79,050","102,090","126,780"
Michigan,database_architechts,680,11.9,0.169,0.47,54.42,"113,190",36.88,39.21,58.03,63.28,75.37,"76,710","81,550","120,710","131,630","156,770"
Michigan,Network and Computer Systems Administrators,"6,600",2.6,1.625,0.72,39.51,"82,180",24.92,29.98,37.65,47.61,58.15,"51,830","62,360","78,300","99,030","120,950"
Michigan,computer_programmers,"3,730",15.2,0.92,0.85,38.73,"80,560",18.93,28.54,37.34,48.61,61.96,"39,380","59,370","77,660","101,110","128,880"
Michigan,software_developers,"37,490",3.6,9.235,0.95,46.99,"97,730",29.48,37.25,47.39,58.03,63.29,"61,330","77,490","98,560","120,710","131,650"
Michigan,web_developers,"1,720",12.1,0.423,0.7,37,"76,960",17.93,29.6,37.24,47.13,50.63,"37,300","61,560","77,450","98,030","105,320"
Michigan,web_digital_interface_designers,"1,340",11.7,0.33,0.56,34,"70,710",18.12,23.27,30.18,47.13,48.91,"37,680","48,400","62,770","98,030","101,730"
Illinois,comp_sys_analysts,"25,470",6.8,4.533,1.26,45.76,"95,170",23.58,30.47,45.66,57.69,63,"49,040","63,380","94,980","119,990","131,040"
Illinois,info_secur_analysts,"4,510",14.4,0.802,0.72,54.25,"112,830",30.27,42.88,57.69,61.53,74.6,"62,970","89,180","119,990","127,990","155,160"
Illinois,database_administrator,"5,380",6.3,0.957,1.57,46.97,"97,700",23.26,29.82,40.14,60.36,78.26,"48,370","62,020","83,480","125,550","162,770"
Illinois,database_architechts,"1,390",8.2,0.247,0.69,53.14,"110,530",24.09,36.67,49.67,63.96,79.84,"50,110","76,280","103,310","133,040","166,070"
Illinois,computer_programmers,"3,610",19.3,0.642,0.59,43.78,"91,060",22.62,29.28,39.1,55.64,72.97,"47,050","60,900","81,320","115,730","151,770"
Illinois,software_developers,"50,060",4.8,8.909,0.92,52.87,"109,970",29.48,38.46,49.51,62.83,78.54,"61,330","79,990","102,990","130,680","163,360"
Illinois,web_developers,"3,060",16.3,0.544,0.9,42.73,"88,880",23.65,31.33,37.81,48.91,62.34,"49,180","65,160","78,630","101,740","129,670"
Illinois,web_digital_interface_designers,"2,220",12.7,0.395,0.67,30.47,"63,370",16.5,18.88,28.62,37.32,47.65,"34,320","39,280","59,520","77,630","99,100"
Indiana,comp_sys_analysts,"8,910",4.9,2.987,0.83,43.03,"89,510",28.67,34.79,38.96,49.23,62.32,"59,620","72,370","81,050","102,410","129,620"
Indiana,info_secur_analysts,"1,570",19.3,0.525,0.47,41.54,"86,410",24.14,30.27,38.54,49.23,61.34,"50,200","62,960","80,170","102,410","127,590"
Indiana,database_administrator,"1,140",8.5,0.382,0.63,39.42,"82,000",22.78,29.17,37.88,48.79,60.95,"47,370","60,670","78,790","101,480","126,780"
Indiana,database_architechts,630,16.2,0.21,0.59,46.41,"96,540",23.38,36.48,47.77,58.88,63.68,"48,640","75,870","99,360","122,460","132,460"
Indiana,computer_programmers,"2,560",12.5,0.857,0.79,40.93,"85,130",23.57,29.17,36.54,39.67,61.5,"49,030","60,680","76,010","82,520","127,910"
Indiana,software_developers,"11,760",8.7,3.942,0.41,45.64,"94,920",28.61,36.44,45.85,50.26,63.14,"59,520","75,800","95,360","104,530","131,340"
Indiana,web_developers,"1,540",12.4,0.516,0.86,30.48,"63,390",15.27,17.87,29.21,38.14,48.13,"31,770","37,170","60,750","79,330","100,110"
Indiana,web_digital_interface_designers,"1,010",10.5,0.338,0.58,27.48,"57,160",13.88,18.33,24.11,35.94,47.13,"28,860","38,120","50,140","74,750","98,020"
Ohio,comp_sys_analysts,"22,420",5.9,4.311,1.2,45.47,"94,580",29.17,36.7,45.83,51.06,62.68,"60,680","76,340","95,330","106,210","130,380"
Ohio,info_secur_analysts,"4,150",5.7,0.798,0.71,47.39,"98,570",27.51,36.05,47.62,60.95,64.04,"57,220","74,980","99,040","126,780","133,190"
Ohio,database_administrator,"2,700",6.4,0.52,0.85,42.83,"89,080",23.19,30.23,41.15,49.86,61.28,"48,230","62,870","85,590","103,700","127,470"
Ohio,database_architechts,"1,490",27.5,0.286,0.8,49.94,"103,880",36.26,37.61,47.84,62.49,73.06,"75,410","78,230","99,510","129,970","151,960"
Ohio,computer_programmers,"3,420",14.8,0.658,0.61,37.18,"77,340",19.33,28.16,36.57,47.27,57.84,"40,210","58,570","76,070","98,320","120,300"
Ohio,software_developers,"46,110",3.5,8.866,0.92,48.97,"101,870",29.59,37.61,48.02,60.98,63.98,"61,550","78,220","99,880","126,830","133,090"
Ohio,web_developers,"2,210",12.9,0.425,0.71,36.96,"76,880",19.04,28.41,37.24,45.95,49.52,"39,610","59,090","77,450","95,570","103,000"
Ohio,web_digital_interface_designers,"3,210",14.7,0.617,1.06,32.91,"68,450",11.88,18.97,37.09,38.19,56.81,"24,700","39,450","77,150","79,440","118,160"
Kentucky,comp_sys_analysts,"3,880",8.6,2.112,0.59,38.61,"80,300",20.83,27.57,36.17,47.69,61.96,"43,330","57,340","75,230","99,190","128,880"
Kentucky,info_secur_analysts,850,10.5,0.462,0.41,42.34,"88,070",23.38,29.96,38.46,49.12,62.13,"48,630","62,310","79,990","102,170","129,220"
Kentucky,database_administrator,590,10.6,0.321,0.53,35.9,"74,680",21.95,29.38,31.49,45.67,55.61,"45,660","61,120","65,500","94,980","115,660"
Kentucky,database_architechts,400,18.5,0.217,0.61,48.2,"100,260",29.37,38.32,48.86,59.61,63.07,"61,090","79,700","101,620","123,980","131,180"
Kentucky,computer_programmers,"1,480",19.3,0.804,0.74,39.6,"82,370",23.47,29.17,38.42,45.49,61.96,"48,820","60,680","79,910","94,620","128,880"
Kentucky,software_developers,"5,030",7.9,2.735,0.28,47.02,"97,810",29.82,37.47,47.47,57.81,63.59,"62,020","77,940","98,750","120,240","132,270"
Kentucky,web_developers,580,24.5,0.318,0.53,31.11,"64,700",18.42,23.41,30,37.65,46.86,"38,320","48,690","62,400","78,300","97,470"
Kentucky,web_digital_interface_designers,350,10.1,0.192,0.33,29.64,"61,650",18.47,22.82,28,35.83,44.03,"38,410","47,470","58,240","74,530","91,570"
